,,,,,,,,,,
original flake id,new flake id,assemblage_code,variable,cv,mean,sd,min,max,median,range
91,75,chert_condition_B,techlength,0.04,51.38,2.12,50.09,55.82,50.46,5.73
91,75,chert_condition_B,techmaxwidth,0.03,38.56,0.97,35.97,39.38,38.98,3.41
91,75,chert_condition_B,techmaxthickness,0.16,12.17,1.96,8.53,16.35,12.27,7.82
91,75,chert_condition_B,techwidthprox,0.06,31.06,1.75,27.13,32.94,31.58,5.81
91,75,chert_condition_B,techwidthmes,0.02,38.02,0.77,35.87,38.75,38.29,2.88
91,75,chert_condition_B,techwidthdist,0.1,27.45,2.85,23.72,33.42,27.31,9.7
91,75,chert_condition_B,techthickprox,0.05,12.42,0.58,11.7,13.41,12.46,1.71
91,75,chert_condition_B,techthickmes,0.07,9.42,0.62,8.41,10.29,9.48,1.88
91,75,chert_condition_B,techthickdist,0.1,6.73,0.67,5.61,7.84,6.82,2.23
91,75,chert_condition_B,platfwidth,0.01,21.19,0.2,20.84,21.4,21.28,0.56
91,75,chert_condition_B,platfthickimpact,0.04,12.55,0.56,11.6,13.4,12.65,1.8
91,75,chert_condition_B,platfthickmid,0.06,12.4,0.75,11.05,13.4,12.57,2.35
91,75,chert_condition_B,platfthickmax,0.03,12.79,0.33,12.1,13.4,12.84,1.3
31,76,chert_condition_B,dorsal_cortex,1.04,1.45,1.51,0,5,1,5
31,76,chert_condition_B,maximumdimension,0.01,72.99,0.78,71.34,73.68,73.2,2.34
31,76,chert_condition_B,maximumwidth,0.05,69.16,3.37,63.77,75.32,69.2,11.55
31,76,chert_condition_B,maximumthickness,0.07,14.09,1.02,12.21,16.38,13.96,4.17
31,76,chert_condition_B,techlength,0.03,68.15,1.92,63.28,69.65,68.52,6.37
31,76,chert_condition_B,techmaxthickness,0.13,13.16,1.76,9.25,14.53,14.12,5.28
31,76,chert_condition_B,techthickprox,0.16,13.17,2.09,9.14,15.73,14,6.59
31,76,chert_condition_B,techthickmes,0.3,10.86,3.29,7.14,15.66,9.13,8.52
31,76,chert_condition_B,techthickdist,0.62,5.79,3.56,3.15,12.08,4.3,8.93
31,76,chert_condition_B,platfthickimpact,0.03,11.81,0.38,11.23,12.75,11.79,1.52
31,76,chert_condition_B,platfthickmax,0.05,12.12,0.56,11.51,13.19,12,1.68
50,77,chert_condition_B,dorsal_cortex,0.26,38.18,9.81,22,50,40,28
50,77,chert_condition_B,mass,0.01,27.32,0.24,27,27.7,27.2,0.7
50,77,chert_condition_B,maximumdimension,0.05,57.2,2.82,52.57,61.08,57.1,8.51
50,77,chert_condition_B,maximumwidth,0.04,52.34,1.85,47.89,55.87,52.57,7.98
50,77,chert_condition_B,maximumthickness,0.09,11.93,1.05,9.62,13.06,12.15,3.44
50,77,chert_condition_B,techlength,0.02,50.86,1.03,48.35,51.85,51.14,3.5
50,77,chert_condition_B,techmaxwidth,0.07,52.27,3.7,46.62,58,52.94,11.38
50,77,chert_condition_B,techmaxthickness,0.1,11.57,1.15,9.21,12.6,12.04,3.39
50,77,chert_condition_B,techwidthprox,0.11,30.78,3.25,24.53,35.44,30.19,10.91
50,77,chert_condition_B,techwidthmes,0.07,50.16,3.6,44.72,56.88,49.7,12.16
50,77,chert_condition_B,techwidthdist,0.17,36.5,6.16,30.83,49.2,34.38,18.37
50,77,chert_condition_B,techthickprox,0.04,11.64,0.5,10.47,12.57,11.69,2.1
50,77,chert_condition_B,techthickmes,0.08,9.48,0.72,8.2,10.8,9.58,2.6
50,77,chert_condition_B,techthickdist,0.21,8.63,1.85,5.5,11.43,8.69,5.93
50,77,chert_condition_B,platfwidth,0.07,12.48,0.87,11.01,13.46,12.54,2.45
50,77,chert_condition_B,platfthickimpact,0.09,4.83,0.43,3.93,5.33,4.86,1.4
50,77,chert_condition_B,platfthickmid,0.09,4.81,0.44,3.87,5.24,4.91,1.37
50,77,chert_condition_B,platfthickmax,0.16,5.29,0.85,4.14,6.86,5.2,2.72
47,78,chert_condition_B,dorsal_cortex,0.33,12.27,4.03,8,20,10,12
47,78,chert_condition_B,mass,0,43.67,0.16,43.3,43.8,43.7,0.5
47,78,chert_condition_B,maximumdimension,0.02,79.58,1.3,77.26,81.3,80,4.04
47,78,chert_condition_B,maximumwidth,0.07,56.67,4.11,51.05,66.99,55.3,15.94
47,78,chert_condition_B,maximumthickness,0.06,10.01,0.56,9.2,11.07,9.88,1.87
47,78,chert_condition_B,techlength,0.01,77.47,0.65,76.48,78.63,77.4,2.15
47,78,chert_condition_B,techmaxwidth,0.04,54.34,2.03,50.37,57,54.6,6.63
47,78,chert_condition_B,techmaxthickness,0.11,10.17,1.07,8.43,12.48,10.12,4.05
47,78,chert_condition_B,techwidthprox,0.05,40.1,2.14,36.48,43.55,40.61,7.07
47,78,chert_condition_B,techwidthmes,0.08,48.74,4.13,36.48,51.43,49.66,14.95
47,78,chert_condition_B,techwidthdist,0.02,51,1.04,49.73,53.16,50.99,3.43
47,78,chert_condition_B,techthickprox,0.12,9.35,1.09,7.33,11.02,9.6,3.69
47,78,chert_condition_B,techthickmes,0.14,8.23,1.16,6.7,9.85,8.36,3.15
47,78,chert_condition_B,techthickdist,0.22,5.64,1.27,4.39,8.3,5.18,3.91
47,78,chert_condition_B,platfwidth,0.09,19.08,1.67,17.11,21.25,19.26,4.14
47,78,chert_condition_B,platfthickimpact,0.07,5.65,0.37,5.21,6.28,5.65,1.07
47,78,chert_condition_B,platfthickmid,0.09,4.99,0.47,4.29,5.7,4.95,1.41
47,78,chert_condition_B,platfthickmax,0.04,5.67,0.25,5.14,5.92,5.71,0.78
69,79,chert_condition_B,dorsal_cortex,0.35,7.82,2.75,3,10,10,7
69,79,chert_condition_B,mass,0,38.15,0.09,37.9,38.2,38.2,0.3
69,79,chert_condition_B,maximumdimension,0.01,68.15,0.59,66.82,68.67,68.38,1.85
69,79,chert_condition_B,maximumwidth,0.04,46,1.93,41.3,47.67,46.75,6.37
69,79,chert_condition_B,maximumthickness,0.1,12.75,1.25,10.6,15.01,12.6,4.41
69,79,chert_condition_B,techlength,0.09,42.67,3.94,37.35,47.3,41.06,9.95
69,79,chert_condition_B,techmaxwidth,0.03,66.61,1.83,61.56,67.96,67.15,6.4
69,79,chert_condition_B,techmaxthickness,0.08,13.1,1.1,10.9,14.95,12.98,4.05
69,79,chert_condition_B,techwidthprox,0.1,63.48,6.52,45.01,67.64,66.44,22.63
69,79,chert_condition_B,techwidthmes,0.1,58.65,6.03,51.2,67.71,57.74,16.51
69,79,chert_condition_B,techwidthdist,0.23,41,9.32,33.8,65.79,38.36,31.99
69,79,chert_condition_B,techthickprox,0.24,10.83,2.65,3.79,13.76,11.58,9.97
69,79,chert_condition_B,techthickmes,0.13,11.68,1.48,7.47,12.66,12.21,5.19
69,79,chert_condition_B,techthickdist,0.31,7.59,2.36,1.93,10.3,8.35,8.37
69,79,chert_condition_B,platfwidth,0.05,38.64,1.82,36.79,42.21,38,5.42
69,79,chert_condition_B,platfthickimpact,0.07,10.84,0.73,9.78,12.47,10.82,2.69
69,79,chert_condition_B,platfthickmid,0.06,11.33,0.71,10.2,12.45,11.57,2.25
69,79,chert_condition_B,platfthickmax,0.05,11.95,0.59,10.8,12.77,12.1,1.97
31,76,chert_condition_B,mass,0,44.65,0.14,44.4,44.9,44.6,0.5
31,76,chert_condition_B,techmaxwidth,0.08,61.39,5.12,49.46,66.46,62.71,17
31,76,chert_condition_B,techwidthprox,0.06,41.19,2.52,37.49,45.13,41,7.64
31,76,chert_condition_B,techwidthmes,0.05,49.45,2.42,46.1,54.12,49.39,8.02
31,76,chert_condition_B,techwidthdist,0.22,49.35,10.95,33.62,63.49,46.14,29.87
31,76,chert_condition_B,platfwidth,0.22,21.87,4.84,11.5,28.92,21.7,17.42
31,76,chert_condition_B,platfthickmid,0.06,9.22,0.57,8.14,10.28,9.27,2.14
